source;target;recurrence
biologiste;célèbre;1
compagnon;fidèle;1
chien;intelligent;1
détails;petits;1
heures;longues;1
oiseaux;colorés;1
oiseaux;tels;1
chants;mélodieux;1
date;longue;1
botaniste;talentueuse;1
plantes;rares;1
cellules;végétales;1
habitat;naturel;1
variation;rare;1
arbres;majestueux;1
arbres;hauts;1
zone;nouvelle;1
insecte;géant;1
laboratoires;respectifs;1
propriétés;intéressantes;1
recherche;médicale;1
conférences;internationales;1
travail;novateur;1
chercheurs;nombreux;1
recherche;mondial;1
endroit;calme;1
parc;grand;1
cour;ferme;1
puits;vieux;1
côté;duquel;1
