source;target;recurrence
célèbre;biologiste;1
fidèle;compagnon;1
intelligent;chien;1
petits;détails;1
longues;heures;1
colorés;oiseaux;1
tels;oiseaux;1
mélodieux;chants;1
longue;date;1
talentueuse;botaniste;1
rares;plantes;1
végétales;cellules;1
naturel;habitat;1
rare;variation;1
majestueux;arbres;1
hauts;arbres;1
nouvelle;zone;1
géant;insecte;1
respectifs;laboratoires;1
intéressantes;propriétés;1
médicale;recherche;1
internationales;conférences;1
novateur;travail;1
nombreux;chercheurs;1
mondial;recherche;1
calme;endroit;1
grand;parc;1
ferme;cour;1
vieux;puits;1
duquel;côté;1
