source;target;recurrence
adorer;adore;3
le;les;17
comportement;comportements;1
de;des;7
animal;animaux;3
être;est;8
son;ses;7
côté;côtés;1
recherche;recherches;2
à;aux;1
petit;petits;1
détail;détails;1
négliger;néglige;1
il;ils;10
passer;passent;1
long;longues;1
heure;heures;2
le;la;21
oiseau;oiseaux;4
coloré;colorés;1
tel;tels;1
perroquet;perroquets;1
fasciner;fascinent;1
son;leur;3
leur;leurs;4
chant;chants;1
de;d';4
un;une;9
exploration;explorations;1
avoir;a;5
rencontrer;rencontré;1
long;longue;1
partager;partage;1
son;sa;1
lui;elle;12
talentueux;talentueuse;1
passer;passe;4
plante;plantes;3
rare;rares;1
discuter;discutent;1
un;des;9
similarité;similarités;1
entrer;entre;2
débattre;débattent;1
ressentir;ressentent;1
émotion;émotions;1
utiliser;utilise;1
cellule;cellules;1
végétal;végétales;1
préférer;préfère;2
interaction;interactions;1
avoir;ont;8
découvrir;découvert;1
lui;eux;1
pouvoir;pourrait;3
de;du;5
nommer;nommé;1
ce;cet;2
plume;plumes;1
travailler;travaillent;1
remplir;rempli;1
merveille;merveilles;1
arbre;arbres;1
haut;hauts;1
mètre;mètres;1
sembler;semblent;1
émerveiller;émerveillé;1
chêne;chênes;1
saule;saules;1
pleureur;pleureurs;1
border;bordent;1
rivière;rivières;1
luire;lui;2
clairière;clairières;1
feuille;feuilles;1
que;qu';2
explorer;exploraient;1
nouveau;nouvelle;1
trouver;trouvé;1
ressembler;ressemblait;1
prendre;pris;1
échantillon;échantillons;1
laboratoire;laboratoires;1
respectif;respectifs;1
penser;pense;1
propriété;propriétés;1
intéressant;intéressantes;1
médical;médicale;1
se;s';2
approcher;approché;1
le;l';2
avertir;averti;1
répondre;répondu;1
être;était;1
fructueux;fructueuse;1
présenter;présenté;1
conférence;conférences;1
international;internationales;1
recevoir;reçu;1
éloge;éloges;1
découverte;découvertes;1
susciter;suscité;1
chercheur;chercheurs;1
être;été;1
inviter;invités;1
habiter;habite;1
prendre;prend;1
disposer;dispose;1
regarder;regarde;1
enfant;enfants;2
aimer;aiment;1
soirée;soirées;1
ami;amis;1
aimer;aime;2
parent;parents;1
vivre;vivent;1
jouer;jouent;1
lorsque;lorsqu';1
fatiguer;fatiguée;1
film;films;1
randonnée;randonnées;1
paysage;paysages;1
être;sont;1
magnifique;magnifiques;1
sentier;sentiers;1
monter;montent;1
vallée;vallées;1
