source;target;recurrence
Paul;paul;12
adore;adorer;6
les;le;32
comportements;comportement;2
des;de;14
animaux;animal;6
Son;son;1
Max;max;6
est;être;16
ses;son;14
côtés;côté;2
recherches;recherche;4
aux;à;2
petits;petit;2
détails;détail;2
néglige;négliger;2
Ensemble;ensemble;3
ils;il;18
passent;passer;2
longues;long;2
heures;heure;4
la;le;40
oiseaux;oiseau;8
Les;le;2
colorés;coloré;2
tels;tel;2
perroquets;perroquet;2
fascinent;fasciner;2
leur;son;6
leurs;leur;7
chants;chant;2
Lors;lors;1
d';de;8
une;un;18
explorations;exploration;2
a;avoir;10
rencontré;rencontrer;2
Marie;marie;8
longue;long;2
partage;partager;2
sa;son;2
Elle;lui;3
talentueuse;talentueux;2
elle;lui;21
passe;passer;8
plantes;plante;6
rares;rare;2
discutent;discuter;2
des;un;18
similarités;similarité;2
entre;entrer;4
débattent;débattre;2
ressentent;ressentir;2
émotions;émotion;2
utilise;utiliser;2
cellules;cellule;2
végétales;végétal;2
préfère;préférer;4
interactions;interaction;2
ont;avoir;16
découvert;découvrir;2
eux;lui;2
pourrait;pouvoir;6
du;de;10
Ils;il;2
nommé;nommer;2
cet;ce;4
Perroquet;perroquet;1
plumes;plume;2
La;le;2
travaillent;travailler;2
rempli;remplir;2
merveilles;merveille;2
arbres;arbre;2
hauts;haut;2
mètres;mètre;2
semblent;sembler;2
émerveillé;émerveiller;2
chênes;chêne;2
saules;saule;2
pleureurs;pleureur;2
bordent;border;2
rivières;rivière;2
lui;luire;4
clairières;clairière;2
feuilles;feuille;2
Un;un;1
qu';que;4
exploraient;explorer;2
nouvelle;nouveau;2
trouvé;trouver;2
ressemblait;ressembler;2
pris;prendre;2
échantillons;échantillon;2
laboratoires;laboratoire;2
respectifs;respectif;2
pense;penser;2
propriétés;propriété;2
intéressantes;intéressant;2
médicale;médical;2
s';se;4
approché;approcher;2
l';le;4
averti;avertir;2
répondu;répondre;2
était;être;2
fructueuse;fructueux;2
présenté;présenter;2
conférences;conférence;2
internationales;international;2
reçu;recevoir;2
éloges;éloge;2
Leurs;leur;1
découvertes;découverte;2
suscité;susciter;2
chercheurs;chercheur;2
été;être;2
invités;inviter;2
habite;habiter;2
Paris;paris;1
Chaque;chaque;1
prend;prendre;2
Sur;sur;1
dispose;disposer;2
De;de;1
regarde;regarder;2
Derrière;derrière;1
enfants;enfant;4
aiment;aimer;2
L’;l’;1
soirées;soirée;2
amis;ami;2
Le;le;1
aime;aimer;4
parents;parent;2
vivent;vivre;2
Dans;dans;1
jouent;jouer;2
Lorsqu';lorsque;1
fatiguée;fatiguer;2
lorsqu';lorsque;1
films;film;2
À;à;1
randonnées;randonnée;2
paysages;paysage;2
sont;être;2
magnifiques;magnifique;2
sentiers;sentier;2
montent;monter;2
vallées;vallée;2
