source;target;recurrence
propn;paul;12
det;un;13
adj;célèbre;1
noun;biologiste;1
verb;adore;3
verb;observer;4
det;les;16
noun;comportements;1
adp;des;7
noun;animaux;3
det;son;2
noun;chien;2
propn;max;6
aux;est;8
noun;compagnon;1
adj;fidèle;1
adv;toujours;2
adp;à;13
det;ses;7
noun;côtés;1
adp;pendant;1
noun;recherches;2
adj;intelligent;1
adv;souvent;5
adj;attentif;1
adp;aux;1
adj;petits;1
noun;détails;1
sconj;que;5
verb;néglige;1
adv;parfois;2
propn;ensemble;3
pron;ils;10
verb;passent;1
det;de;2
adj;longues;1
noun;heures;2
adp;dans;8
det;la;21
noun;forêt;3
noun;oiseaux;4
adj;colorés;1
adj;tels;1
noun;perroquets;1
verb;fascinent;1
adp;par;3
det;leur;3
noun;beauté;1
cconj;et;10
det;leurs;4
noun;chants;1
adj;mélodieux;1
adv;lors;1
adp;d';4
det;une;9
adp;de;15
noun;explorations;1
aux;a;3
verb;rencontré;1
propn;marie;8
noun;amie;1
adj;longue;1
noun;date;1
pron;qui;7
verb;partage;1
det;sa;1
noun;passion;1
adp;pour;10
noun;nature;1
pron;elle;12
noun;botaniste;1
adj;talentueuse;1
verb;passe;4
adv;beaucoup;2
noun;temps;3
verb;étudier;2
noun;plantes;3
adj;rares;1
verb;discutent;1
det;des;9
noun;similarités;1
adp;entre;2
det;le;6
noun;comportement;1
verb;débattent;1
adp;sur;4
noun;question;1
verb;savoir;1
sconj;si;1
verb;ressentent;1
noun;émotions;1
verb;utilise;1
noun;microscope;1
verb;examiner;1
adp;en;4
noun;détail;1
noun;cellules;1
adj;végétales;1
adv;tandis;1
verb;préfère;2
verb;utiliser;1
noun;caméra;1
verb;filmer;1
noun;interactions;1
noun;habitat;1
adj;naturel;1
aux;ont;8
verb;découvert;1
noun;espèce;1
noun;oiseau;2
adp;selon;1
pron;eux;1
verb;pourrait;3
aux;être;1
noun;variation;1
adj;rare;1
adp;du;5
noun;perroquet;1
verb;nommé;1
det;cet;2
propn;perroquet;1
noun;cristal;1
noun;raison;1
noun;transparence;1
noun;plumes;1
pron;où;4
verb;travaillent;1
noun;lieu;1
verb;rempli;1
noun;merveilles;1
noun;arbres;1
adj;majestueux;1
adj;hauts;1
det;plusieurs;2
noun;mètres;1
verb;semblent;1
verb;toucher;1
noun;ciel;1
adj;émerveillé;1
noun;robustesse;1
noun;chênes;1
noun;douceur;1
noun;saules;1
noun;pleureurs;1
verb;bordent;1
noun;rivières;1
pron;lui;2
verb;courir;1
noun;clairières;1
pron;se;4
verb;rouler;1
noun;feuilles;1
noun;jour;1
adv;alors;1
sconj;qu';1
verb;exploraient;1
adj;nouvelle;1
noun;zone;1
verb;trouvé;1
noun;insecte;2
adj;géant;1
verb;ressemblait;1
noun;libellule;1
cconj;mais;2
adv;plus;2
adj;grand;2
verb;pris;1
noun;échantillons;1
pron;les;1
noun;laboratoires;1
adj;respectifs;1
verb;pense;1
verb;avoir;1
noun;propriétés;1
adj;intéressantes;1
noun;recherche;2
adj;médicale;1
adj;curieux;1
pron;s';2
verb;approché;1
noun;nid;1
pron;l';1
adv;près;1
verb;averti;1
pron;que;1
verb;déranger;1
verb;répondu;1
aux;était;1
adv;suffisamment;1
adj;prudent;1
adv;ne;1
adv;pas;1
verb;causer;1
noun;problème;1
noun;collaboration;1
adj;fructueuse;1
verb;présenté;1
noun;conférences;1
adj;internationales;1
verb;reçu;1
noun;éloges;1
noun;travail;1
adj;novateur;1
noun;découvertes;1
verb;suscité;1
det;l';1
noun;intérêt;1
adj;nombreux;1
noun;chercheurs;1
aux;été;1
verb;invités;1
verb;rejoindre;1
noun;projet;1
adj;mondial;1
noun;biodiversité;1
verb;habite;1
propn;paris;1
noun;ville;1
pron;qu';1
det;chaque;1
noun;matin;1
verb;prend;1
noun;café;1
noun;cuisine;1
noun;endroit;1
adj;calme;1
noun;côté;2
noun;salon;2
noun;table;1
verb;dispose;1
noun;vase;1
adv;au-dessus;2
noun;journal;1
verb;regarde;1
noun;fenêtre;1
pron;ce;1
adp;devant;2
noun;maison;1
adp;derrière;1
noun;jardin;1
pron;il;2
pron;y;2
verb;a;2
noun;parc;1
noun;enfants;2
verb;aiment;1
verb;jouer;1
det;l’;1
propn;été;1
noun;soirées;1
noun;plage;1
adp;avec;2
noun;amis;1
verb;asseoir;1
adv;en-dessous;1
noun;parasol;1
verb;protéger;1
noun;soleil;1
noun;week;1
noun;end;1
verb;aime;2
verb;rendre;1
noun;visite;1
adp;chez;1
noun;parents;1
verb;vivent;1
noun;campagne;1
noun;cour;1
adj;ferme;1
adj;vieux;1
noun;puits;1
adj;duquel;1
verb;jouent;1
sconj;lorsqu';1
verb;fatiguée;1
verb;repose;1
noun;canapé;1
noun;télévision;1
verb;regarder;1
noun;films;1
noun;montagne;1
verb;faire;1
noun;randonnées;1
noun;paysages;1
aux;sont;1
adj;magnifiques;1
noun;sentiers;1
verb;montent;1
noun;vallées;1
