source;target;recurrence
paul;propn;12
un;det;13
célèbre;adj;1
biologiste;noun;1
adore;verb;3
observer;verb;4
les;det;16
comportements;noun;1
des;adp;7
animaux;noun;3
son;det;2
chien;noun;2
max;propn;6
est;aux;8
compagnon;noun;1
fidèle;adj;1
toujours;adv;2
à;adp;13
ses;det;7
côtés;noun;1
pendant;adp;1
recherches;noun;2
intelligent;adj;1
souvent;adv;5
attentif;adj;1
aux;adp;1
petits;adj;1
détails;noun;1
que;sconj;5
néglige;verb;1
parfois;adv;2
ensemble;propn;3
ils;pron;10
passent;verb;1
de;det;2
longues;adj;1
heures;noun;2
dans;adp;8
la;det;21
forêt;noun;3
oiseaux;noun;4
colorés;adj;1
tels;adj;1
perroquets;noun;1
fascinent;verb;1
par;adp;3
leur;det;3
beauté;noun;1
et;cconj;10
leurs;det;4
chants;noun;1
mélodieux;adj;1
lors;adv;1
d';adp;4
une;det;9
de;adp;15
explorations;noun;1
a;aux;3
rencontré;verb;1
marie;propn;8
amie;noun;1
longue;adj;1
date;noun;1
qui;pron;7
partage;verb;1
sa;det;1
passion;noun;1
pour;adp;10
nature;noun;1
elle;pron;12
botaniste;noun;1
talentueuse;adj;1
passe;verb;4
beaucoup;adv;2
temps;noun;3
étudier;verb;2
plantes;noun;3
rares;adj;1
discutent;verb;1
des;det;9
similarités;noun;1
entre;adp;2
le;det;6
comportement;noun;1
débattent;verb;1
sur;adp;4
question;noun;1
savoir;verb;1
si;sconj;1
ressentent;verb;1
émotions;noun;1
utilise;verb;1
microscope;noun;1
examiner;verb;1
en;adp;4
détail;noun;1
cellules;noun;1
végétales;adj;1
tandis;adv;1
préfère;verb;2
utiliser;verb;1
caméra;noun;1
filmer;verb;1
interactions;noun;1
habitat;noun;1
naturel;adj;1
ont;aux;8
découvert;verb;1
espèce;noun;1
oiseau;noun;2
selon;adp;1
eux;pron;1
pourrait;verb;3
être;aux;1
variation;noun;1
rare;adj;1
du;adp;5
perroquet;noun;1
nommé;verb;1
cet;det;2
perroquet;propn;1
cristal;noun;1
raison;noun;1
transparence;noun;1
plumes;noun;1
où;pron;4
travaillent;verb;1
lieu;noun;1
rempli;verb;1
merveilles;noun;1
arbres;noun;1
majestueux;adj;1
hauts;adj;1
plusieurs;det;2
mètres;noun;1
semblent;verb;1
toucher;verb;1
ciel;noun;1
émerveillé;adj;1
robustesse;noun;1
chênes;noun;1
douceur;noun;1
saules;noun;1
pleureurs;noun;1
bordent;verb;1
rivières;noun;1
lui;pron;2
courir;verb;1
clairières;noun;1
se;pron;4
rouler;verb;1
feuilles;noun;1
jour;noun;1
alors;adv;1
qu';sconj;1
exploraient;verb;1
nouvelle;adj;1
zone;noun;1
trouvé;verb;1
insecte;noun;2
géant;adj;1
ressemblait;verb;1
libellule;noun;1
mais;cconj;2
plus;adv;2
grand;adj;2
pris;verb;1
échantillons;noun;1
les;pron;1
laboratoires;noun;1
respectifs;adj;1
pense;verb;1
avoir;verb;1
propriétés;noun;1
intéressantes;adj;1
recherche;noun;2
médicale;adj;1
curieux;adj;1
s';pron;2
approché;verb;1
nid;noun;1
l';pron;1
près;adv;1
averti;verb;1
que;pron;1
déranger;verb;1
répondu;verb;1
était;aux;1
suffisamment;adv;1
prudent;adj;1
ne;adv;1
pas;adv;1
causer;verb;1
problème;noun;1
collaboration;noun;1
fructueuse;adj;1
présenté;verb;1
conférences;noun;1
internationales;adj;1
reçu;verb;1
éloges;noun;1
travail;noun;1
novateur;adj;1
découvertes;noun;1
suscité;verb;1
l';det;1
intérêt;noun;1
nombreux;adj;1
chercheurs;noun;1
été;aux;1
invités;verb;1
rejoindre;verb;1
projet;noun;1
mondial;adj;1
biodiversité;noun;1
habite;verb;1
paris;propn;1
ville;noun;1
qu';pron;1
chaque;det;1
matin;noun;1
prend;verb;1
café;noun;1
cuisine;noun;1
endroit;noun;1
calme;adj;1
côté;noun;2
salon;noun;2
table;noun;1
dispose;verb;1
vase;noun;1
au-dessus;adv;2
journal;noun;1
regarde;verb;1
fenêtre;noun;1
ce;pron;1
devant;adp;2
maison;noun;1
derrière;adp;1
jardin;noun;1
il;pron;2
y;pron;2
a;verb;2
parc;noun;1
enfants;noun;2
aiment;verb;1
jouer;verb;1
l’;det;1
été;propn;1
soirées;noun;1
plage;noun;1
avec;adp;2
amis;noun;1
asseoir;verb;1
en-dessous;adv;1
parasol;noun;1
protéger;verb;1
soleil;noun;1
week;noun;1
end;noun;1
aime;verb;2
rendre;verb;1
visite;noun;1
chez;adp;1
parents;noun;1
vivent;verb;1
campagne;noun;1
cour;noun;1
ferme;adj;1
vieux;adj;1
puits;noun;1
duquel;adj;1
jouent;verb;1
lorsqu';sconj;1
fatiguée;verb;1
repose;verb;1
canapé;noun;1
télévision;noun;1
regarder;verb;1
films;noun;1
montagne;noun;1
faire;verb;1
randonnées;noun;1
paysages;noun;1
sont;aux;1
magnifiques;adj;1
sentiers;noun;1
montent;verb;1
vallées;noun;1
