source;target;recurrence
paul;,;1
,;un;1
un;célèbre;1
célèbre;biologiste;1
biologiste;,;1
,;adorer;1
adorer;observer;1
observer;le;1
le;comportement;1
comportement;de;1
de;animal;1
animal;.;1
son;chien;1
chien;max;1
max;être;1
être;un;1
un;compagnon;1
compagnon;fidèle;1
fidèle;,;1
,;toujours;1
toujours;à;1
à;son;1
son;côté;1
côté;pendant;1
pendant;son;1
son;recherche;1
recherche;.;1
un;chien;1
chien;intelligent;1
intelligent;,;1
,;souvent;1
souvent;attentif;1
attentif;à;1
à;petit;1
petit;détail;1
détail;que;1
que;paul;1
paul;négliger;1
négliger;parfois;1
parfois;.;1
ensemble;,;1
,;il;1
il;passer;1
passer;de;1
de;long;1
long;heure;1
heure;dans;1
dans;le;1
le;forêt;1
forêt;à;1
à;observer;1
le;oiseau;1
oiseau;.;1
oiseau;coloré;1
coloré;,;1
,;tel;1
tel;que;1
que;le;1
le;perroquet;1
perroquet;,;1
,;fasciner;1
fasciner;paul;1
paul;par;1
par;son;1
son;beauté;1
beauté;et;1
et;leur;1
leur;chant;1
chant;mélodieux;1
mélodieux;.;1
lors;de;1
de;un;1
un;de;1
de;son;1
son;exploration;1
exploration;,;1
,;paul;1
paul;avoir;1
avoir;rencontrer;1
rencontrer;marie;1
marie;,;1
un;amie;1
amie;de;1
long;date;1
date;qui;1
qui;partager;1
partager;son;1
son;passion;1
passion;pour;1
pour;le;1
le;nature;1
nature;.;1
lui;être;1
un;botaniste;1
botaniste;talentueux;1
talentueux;,;1
,;et;1
et;lui;1
lui;passer;1
passer;beaucoup;1
beaucoup;de;1
de;temps;1
temps;à;1
à;étudier;1
étudier;le;1
le;plante;1
plante;rare;1
rare;.;1
paul;et;1
et;marie;1
marie;discuter;1
discuter;souvent;1
souvent;un;1
un;similarité;1
similarité;entrer;1
entrer;le;1
de;plante;1
plante;et;1
et;de;1
animal;,;1
et;il;1
il;débattre;1
débattre;sur;1
sur;le;1
le;question;1
question;de;1
de;savoir;1
savoir;si;1
si;le;1
plante;ressentir;1
ressentir;un;1
un;émotion;1
émotion;.;1
marie;utiliser;1
utiliser;un;1
un;microscope;1
microscope;pour;1
pour;examiner;1
examiner;en;1
en;détail;1
détail;le;1
le;cellule;1
cellule;végétal;1
végétal;,;1
,;tandis;1
tandis;que;1
paul;préférer;1
préférer;utiliser;1
un;caméra;1
caméra;pour;1
pour;filmer;1
filmer;le;1
le;interaction;1
